DESCRIPTION_ESP;DESCRIPTION_ENG;EFFECT;AMOUNT#
"La noche cae sobre el páramo y Aunia sabe que debe descansar. Busca una zona resguardada del viento y descuelga la pesada mochila que lleva a la espalda. En el fondo lleva todo lo necesario para montar su tienda y descansar sin peligro. Igualmente, ya no queda nada fuera que pueda hacerle daño.

O eso piensa.

La luz violeta que arrojan Selene y Amusico, las dos lunas que acompañan las largas noches, sobre el páramo siempre ha hipnotizado a Aunia. La transportan de vuelta a aquellas interminables noches que pasaba en el IEMUL trabajando. Y con eso en mente, duerme.

Al despertar nota un punzante dolor en la palma de la mano. Consternada, comprueba que tiene una picadura extraña. Rápidamente limpia y venda, pero el daño está hecho… ¿Qué puede haberla causado? Hace al menos semanas que no ve insectos, pensaba que todos estaban extintos, como el resto de vida en el páramo.";"Night falls on the moor and Aunia knows she must rest. She looks for an area sheltered from the wind and takes down the heavy backpack she carries on her back. Inside she has everything she needs to set up her tent and rest safely. Anyway, there is nothing left outside that could harm her.

Or so she thinks.

The violet light that Selene and Amusico, the two moons that accompany the long nights, cast over the moor has always hypnotized Aunia. They transport her back to those endless nights she spent working at IEMUL. And with that in mind, she sleeps.

When she wakes up she feels a sharp pain in the palm of her hand. Dismayed, she realizes that she has a strange bite. She quickly cleans and bandages it, but the damage is done... What could have caused it? She hasn't seen insects for at least weeks, she thought they were all extinct, like the rest of life on the moor.";1;1#
"El atardecer se abalanza sobre Aunia casi sin que ésta se de cuenta. Hoy la noche parece particularmente oscura. Antes siempre había alguna luz en el páramo, podías ver a lo lejos las luces de algún pequeño asentamiento, escuchar a los animales, la vida se dejaba notar incluso en la oscuridad. Pero hace mucho que no ocurre eso. Ahora las noches son tan tranquilas como oscuras.

Con esa preocupación en mente, Aunia busca donde descansar. Cerca de donde se encuentra hay un pequeño bosque y decide relajarse al linde de los árboles. Nunca le han gustado demasiado los bosques de este lugar, pero en ocasiones es necesario, resguardan del viento y de vistas indeseadas. Aunque hace mucho que esas vistas dejaron de existir.

Mientras monta la tienda escucha algo moverse en el bosque. Se detiene y alza la mirada. Durante un segundo está segura de ver a alguien erguido entre los árboles mirando en su dirección. Sabe que debe ser su mente jugando con ella. Pero está segura de escuchar una frase que el viento transporta hasta sus oídos… - Ven con nosotros. Dice.
";"Dusk is falling on Aunia almost without her noticing. Today the night seems particularly dark. Before there was always some light on the moor, you could see the lights of some small settlement in the distance, hear the animals, life was noticeable even in the darkness. But that hasn't happened for a long time. Now the nights are as quiet as they are dark.

With that concern in mind, Aunia looks for a place to rest. Near where she is there is a small forest and she decides to relax at the edge of the trees. She has never liked the forests in this place too much, but sometimes it is necessary, they protect her from the wind and from unwanted views. Although those views have long since ceased to exist.

While she sets up the tent she hears something moving in the forest. She stops and looks up. For a second she is sure she sees someone standing between the trees looking in her direction. She knows it must be her mind playing with her. But she is sure she hears a phrase that the wind carries to her ears... - Come with us. It says.";3;1#
"Mientras se prepara para descansar, Aunia revisa sus provisiones. No pudo partir con casi nada de casa, fue también una de las razones por las que decidió emprender el viaje. Los suministros de la Stillness se acabaron hace mucho y ya no encontraba peces en los ríos ni animales en el páramo. Tarde o temprano tenía que pasar, aquel lugar no era demasiado grande. La opción que sugirió Kara de mudarse al norte quizás fue una buena idea, pero ya daba igual.

Revisando su mochila se da cuenta de que si quiere llegar al final no podrá seguir con el ritmo que lleva hasta ahora, tendrá que racionar un poco la comida y la bebida. Quizás deba pararse a explorar mejor los lugares que visita o quizás deba correr hasta la meta.

En cualquier caso, hoy toca ir a dormir con el estómago vacío.";"As she prepares to rest, Aunia checks her supplies. She couldn't leave with much from home, which was also one of the reasons she decided to undertake the journey. The supplies from Stillness ran out long ago and she could no longer find fish in the rivers or animals in the wasteland. Sooner or later she had to pass, that place wasn't too big. The option that Kara suggested of moving north may have been a good idea, but it didn't matter anymore.

Checking her backpack she realizes that if she wants to reach the end she won't be able to keep up the pace she's been going so far, she'll have to ration her food and drink a little. Maybe she should stop to explore the places she visits better or maybe she should run to the finish line.

In any case, today it's time to go to sleep on an empty stomach.";5;1#
"No era un evento que se diese con demasiada frecuencia, pero en ocasiones pasaba. Selene, la más brillante y grande de las dos lunas, en ocasiones tapaba en su totalidad a Amusico, la otra luna. Mientras que Amusico arrojaba una luz violeta y oscura sobre el páramo, Selene emanaba un torrente de luz clara. Daba la sensación de que aún era de día.

Podía ocurrir varios días seguidos, si se tenía mala suerte, en ese caso parecía que nunca iba a anochecer. Aunia no era capaz de descansar adecuadamente cuando esto ocurría, necesitaba oscuridad para conciliar el sueño.

Por alguna razón que nunca supo comprender bien, la luz de Selene la mantenía en constante alerta. En momentos así recordaba los años de viaje en la Stillness, en profunda oscuridad. Fue la época en que mejor descansó.";"It wasn't an event that happened too often, but it did happen occasionally. Selene, the brighter and larger of the two moons, would sometimes completely obscure Amusico, the other moon. While Amusico cast a dark, violet light over the moor, Selene emanated a torrent of clear light. It felt like it was still daylight.

It could happen for several days in a row, and if you were unlucky, it seemed like it would never get dark. Aunia was unable to rest properly when this happened, needing darkness to fall asleep.

For some reason she never quite understood, Selene's light kept her constantly alert. At times like this she remembered the years of traveling in the Stillness, in deep darkness. It was the time when she rested best.";7;1#
"Aunia llevaba tanto tiempo andando hoy que no se dio cuenta cuando se hizo de noche. Le pasaba más de lo que le gustaría. Cuando tenía un objetivo en mente, como ahora, tendía a abstraerse de la realidad y empezar a caminar sin fin. En una ocasión, cuando decidió averiguar qué había al sur del páramo, estuvo caminando casi diez días sin detenerse.

Ha pasado mucho tiempo desde que era capaz de hacer eso. Cuando descubrió que el cansancio no era un lastre, intentó averiguar dónde estaba el límite. Por desgracia eso fue hace mucho y los límites han vuelto a su cuerpo.

Ahora necesita descansar a cada rato, siente que le falta el aire. Sabe que por muy bien que duerma hoy, mañana no amanecerá igual de descansada que de costumbre. Tiene que tener cuidado y evitar excederse tanto.
";"Aunia had been walking for so long today that she didn't notice when it got dark. This happened to her more often than she would like. When she had a goal in mind, like now, she tended to abstract herself from reality and start walking endlessly. On one occasion, when she decided to find out what was south of the moor, she walked for almost ten days without stopping.

It's been a long time since she was able to do that. When she discovered that tiredness was not a burden, she tried to find out where the limit was. Unfortunately that was a long time ago and the limits have returned to her body.

Now she needs to rest every now and then, she feels like she's short of breath. She knows that no matter how well she sleeps today, tomorrow she won't wake up as rested as usual. She has to be careful and avoid overdoing it.";9;1#
"La respiración de Aunia estaba entrecortada por todo lo sucedido en el día de hoy. No siempre podía tener la opción de descansar tranquilamente y esta noche parecía ser una de esas.

Con eso en mente, empezó a organizar su mochila. Le preocupaba no encontrar suficientes provisiones para llegar al final, tenía la mente en otra parte. Entonces, escuchó algo en el páramo.

Sobresaltada, levantó la vista. Sabía que era imposible, pero estaba segura que escuchaba pasos a lo lejos. Se incorporó rápidamente buscando el origen del improbable sonido. Al hacerlo, víctima del desconcierto, Aunia se corta en la palma de la mano con una de sus herramientas. Baja la vista y ve como la sangre brota de la herida abierta a la vez que el ruido de los pasos desaparece en la distancia.";"Aunia's breathing was labored by everything that had happened today. She didn't always have the option to rest peacefully and tonight seemed to be one of those.

With that in mind, she began to organize her backpack. She was worried that she wouldn't find enough supplies to make it to the end, her mind was elsewhere. Then, she heard something on the moor.

Startled, she looked up. She knew it was impossible, but she was sure she heard footsteps in the distance. She quickly sat up looking for the origin of the improbable sound. In doing so, victim of bewilderment, Aunia cut herself on the palm of her hand with one of her tools. She lowers her gaze and sees how blood flows from the open wound while the sound of the footsteps disappears in the distance.";1;1#
"Unas destartaladas ruinas, si es que siquiera se puede llamar así al triste amasijo de piedras que quedan en pie de lo que una vez fue un hogar, parecen ser la opción de Aunia para pasar la noche. 

Lugares como esté se encuentran esparcidos por todo el páramo. Muchos de sus compañeros crearon refugios temporales que luego abandonaron o fueron cediendo a su descendencia con el paso de los años. Este debía ser uno de ellos, no estaba demasiado bien construido y aguantó muy mal las inclemencias del tiempo.

Aunia enciende un pequeño fuego y se tumba junto a las llamas. Mientras sus ojos se cierran cree ver alguien al otro lado de la hoguera. No reconoce su cara, pero está segura de que sabe quien es. Alguien que dejó atrás hace mucho, con quien espera reencontrarse pronto. Edereta le devuelve la mirada, abre la boca y las flores de Caliope salen de su interior.

Aunia cierra los ojos. No está segura de cuánto es real y cuánto no, en ocasiones teme averiguarlo.
";"A ramshackle ruin, if you can even call it that, the sad mass of stones that remain standing from what was once a home, seems to be Aunia's choice for spending the night.

Places like this are scattered throughout the wasteland. Many of her companions created temporary shelters that they later abandoned or gave to their offspring over the years. This must have been one of them, it was not very well built and did not hold up very well to the elements.

Aunia lights a small fire and lies down next to the flames. As her eyes close she thinks she sees someone on the other side of the fire. She doesn't recognize their face, but she is sure she knows who it is. Someone she left behind long ago, who she hopes to meet again soon. Edereta looks back at her, opens her mouth, and Caliope's flowers come out of her.

Aunia closes her eyes. She is not sure how much is real and how much is not, sometimes she is afraid to find out.";3;1#
"El aire nocturno acaricia la cara de Aunia mientras se tumba boca arriba, observando cómo Amusico la vigila.

Recuerda ahora que lleva bastante sin comer. Por un momento pensó en dormir sin llevarse nada al estomago, hoy se encuentra un poco mal, pero sabe que debe alimentarse. Pese a que la pereza de estar ya tumbada y tranquila hacen mella en ella, al final logra incorporarse y buscar algo en su mochila.

Después de un rato buscando logra encontrar algunas raciones que creía haber consumido hace días. Las saca de la mochila y vuelve a su improvisada cama, la parca lona que descansa sobre el frío suelo del páramo. Abre las raciones y da un bocado. Casi de forma instantánea escupe lo que está comiendo, el paquete debía de estar mal sellado y se estropeó hace mucho. Con la oscuridad de la noche Aunia no se había dado cuenta. Le fue imposible no tragar un poco de la caducada ración. Se da la vuelta y termina por echar todo lo que ha comido hoy.

Finalmente tendrá que pasar la noche con el estómago vacío.";"The night air caresses Aunia's face as she lies on her back, watching Amusico watch over her.

She remembers now that she hasn't eaten for quite some time. For a moment she thought about sleeping without taking anything to her stomach, today she feels a little ill, but she knows she must eat. Even though the laziness of lying down and being quiet takes its toll on her, she finally manages to sit up and look for something in her backpack.

After searching for a while she manages to find some rations that she thought she had consumed days ago. She takes them out of her backpack and returns to her improvised bed, the meager canvas that rests on the cold ground of the moor. She opens the rations and takes a bite. Almost instantly she spits out what she is eating, the package must have been poorly sealed and spoiled a long time ago. With the darkness of the night Aunia hadn't noticed. It was impossible for her not to swallow a bit of the expired ration. She turns over and ends up throwing up everything she has eaten today.

Finally she will have to spend the night on an empty stomach.";5;1#
"Cuando la noche cae Aunia se encuentra en mitad de la nada. No es que se pueda decir que el enorme páramo tenga muchos sitios que no sean la nada como tal, pero el lugar donde se encuentra ahora es especialmente la nada. Por más que mira en cualquier dirección, su vista solo atisba a observar rocas inertes acariciadas por el viento.

Es una noche extraña, no le apetece demasiado dormir, pero sabe que necesita descansar.

Eleva la vista y se deja llevar por el hipnotizante baile de Selene y Amusico. Cuando llegaron aquí por primera vez, pasaba noches enteras mirando el movimiento de las lunas. Pensaba si podría hacer funcionar la Stillness y llegar hasta alguna de ellas. Pero sabía que eso nunca sucedería. Era demasiado peligroso volver a despegar la nave.

Sin darse cuenta, empezó a amanecer.
";"When night falls, Aunia finds herself in the middle of nowhere. It's not that the vast wasteland has many places that aren't nothing as such, but the place where she is now is especially nothing. No matter how much she looks in any direction, her sight only catches sight of inert rocks caressed by the wind.

It's a strange night, she doesn't feel like sleeping, but she knows she needs to rest.

She looks up and lets herself be carried away by the hypnotizing dance of Selene and Amusico. When they first came here, she spent entire nights watching the movement of the moons. She wondered if she could make the Stillness work and reach one of them. But she knew that would never happen. It was too dangerous to take off the ship again.

Without realizing it, dawn began to break.";7;1#
"Cuando la noche empieza a cernirse sobre el páramo Aunia cae agotada. Hoy se ha sobreesforzado demasiado, piensa que quizás no llegará al final de su viaje. Eso la aterra, ha pospuesto este deber mucho tiempo y teme que ahora sea tarde para ella. Creía que no le pasaría, pero el tiempo ha empezado a pesar sobre sus hombros.

Con eso en mente se ha sucedido el día de hoy. Y por culpa de ese temor se ha forzado demasiado. Mientras monta el que será su lugar de reposo hoy observa la posición de las lunas sobre ella. Han avanzado mucho, es bastante tarde.

Al poco de llegar a este lugar Elbura programó unos relojes para alinearse con el ciclo de tiempo que tenían aquí, pero Aunia los dejó de usar hace mucho. Se sentía algo más libre al no depender de la hora. Pero mañana le iba a costar esa decisión, hoy tenía poco tiempo para descansar.";"As night begins to fall over the moor, Aunia falls exhausted. Today she has overexerted herself, thinking that she might not reach the end of her journey. This terrifies her, she has put off this duty for a long time and fears that it is now too late for her. She thought it would not happen to her, but time has begun to weigh on her shoulders.

With that in mind, today has happened. And because of that fear, she has forced herself too much. While she sets up what will be her resting place today, she observes the position of the moons above her. They have come a long way, it is quite late.

Shortly after arriving at this place, Elbura programmed some clocks to align with the time cycle they had here, but Aunia stopped using them a long time ago. She felt somewhat freer not to depend on the time. But tomorrow that decision was going to be difficult for her, today she had little time to rest.";9;1#
