Icon;Name_ESP;Name_ENG;Desc_ESP;Desc_ENG;Effect;Amount
0;Pescado deshidratado;Dehydrated fish;Al llegar por primera vez a este lugar, Kara y Elbura intentaron repoblar las masas de agua que encontraron al noroeste de la meseta con algunos peces parecidos a los que tenían en su hogar. El resultado fue ligeramente satisfactorio, por desgracia no fueron capaces de replicar el sabor a la perfección.;Upon first arriving here, Kara and Elbura attempted to restock the bodies of water they found northwest of the plateau with some fish similar to the ones they had at home. The result was mildly satisfactory, unfortunately they were not able to replicate the taste perfectly.;6;2
1;Queso algo pasado;Cheese a little overdone;Caciero siempre fue un maestro quesero, por desgracia fue el primero en separarse del grupo. Edereta intentó emular su técnica y fermentar la leche lo mejor posible. No siempre lo conseguía con éxito.;Caciero was always a master cheesemaker, unfortunately he was the first to break away from the group. Edereta tried to emulate his technique and ferment the milk as well as possible. She was not always successful.;6;1
2;Conservas casera;Homemade preserves;Si hay algo que Aunia echa de menos de su anterior hogar, es la mermelada. Cuando llegaron aquí hacía ya muchos años que la mermelada se había acabado. Al menos conservaba los botes y podía usarlos para guardar comida de forma segura durante mucho tiempo.;If there is one thing Aunia misses from her former home, it is jam. When they arrived here, the jam had been gone for many years. At least she kept the jars and could use them to store food safely for a long time.;6;3
3;Cecina;Jerky;Le llevó muchos años a Aunia averiguar cómo se preparaba la cecina. En alguna ocasión Caciero la había preparado, pero ella no estuvo atenta. La masa reseca que Aunia lograba hacer distaba mucho de la verdadera Cecina pero era suficiente para calmar el dolor de estómago durante un rato.;It took Aunia many years to figure out how jerky was prepared. Caciero had once prepared it, but she was not attentive. The parched dough Aunia managed to make was far from the real Cecina but it was enough to soothe the stomach ache for a while.;6;1
5;Trozo de fruta algo pasada;Piece of fruit a little overdone;La tierra de este lugar hace que la fruta crezca de forma extraña, por suerte para Aunia el sabor apenas se ve modificado… la mayoría de las veces.;The soil of this place makes the fruit grow strangely, luckily for Aunia the taste is hardly modified... most of the time.;6;1
6;Dulce pobremente elaborado;Poorly elaborated candy;Desde siempre hemos intentado ser creativos a la hora de la comida, suponemos que así nacieron los dulces. Aunia sabe que es de vital importancia racionar la comida y caprichos como este pocas veces son útiles. Pero de una forma que no se explica (y tampoco necesita explicar) al comer dulces siente como que vuelve a su niñez, pesé a que ha pasado tanto tiempo.;We have always tried to be creative when it comes to food, we guess that's how sweets were born. Aunia knows that it is vitally important to ration food and treats like this are rarely useful. But in a way that she can't explain (and she doesn't need to explain either) eating sweets makes her feel like she's going back to her childhood, even though so much time has passed.;6;1
4;Trozo de pan seco;Piece of dry bread;En su hogar, Aunia nunca había valorado el pan. Desde que llegaron a este lugar esa percepción cambió totalmente. Era uno de los alimentos más sencillos de obtener y en ocasiones se había convertido en su única fuente de comida durante semanas.;At home, Aunia had never valued bread. Since they came to this place, that perception changed completely. It was one of the easiest foods to obtain and had sometimes become their only source of food for weeks.;6;2
7;Ración antigua;Ancient ration;Nadie sabe con certeza cuántas raciones de estas venían en la Stillness. Tenían, literalmente, cientos, si no miles, de cajones cerrados al vacío estaban repletos de estos triangulitos empaquetados. Es una mole extraña con diferentes sabores, la mayoría casi olvidados ya por Aunia. Pollo, ternera, hamburguesa… Las etiquetas del paquete se borraron hace mucho, ahora son sabores sorpresa. Esperemos que este no sea de tarta de cereza, Aunia la odiaba.;No one knows for sure how many of these rations came in the Stillness. They had literally hundreds, if not thousands, of vacuum-sealed crates were crammed with these little packed triangles. It's a strange mole with different flavors, most of them almost forgotten by Aunia. Chicken, beef, hamburger... The package labels were erased long ago, now they are surprise flavors. Let's hope this one is not cherry pie, Aunia hated it.;6;1
8;Fruto modificado de Caliope;Modified fruit of Calliope;En algún momento alguien pensó que era buena idea retirar las semillas de la planta y cultivarlas, las primeras pruebas fueron, obviamente, nefastas. Con el tiempo se fueron modificando en entornos controlados y creando un fruto que era comestible de forma “segura”. Pero que algo pueda comerse no quiere decir que deba comerse.;At some point someone thought it was a good idea to remove the seeds from the plant and cultivate them, the first tests were obviously disastrous. Eventually they were modified in controlled environments and created a fruit that was “safely” edible. But just because something can be eaten does not mean it should be eaten.;5;2
9;Carne poco cocinada;Undercooked meat;El filete lleva ya un tiempo al aire libre y se ha cocinado casi en su totalidad con el calor del ambiente. Aunia recuerda un tiempo en que tuvo que alimentarse estrictamente de cosas similares al triste filete, por suerte ese tiempo quedó atrás. Ahora su estómago vuelve a ser algo más fino.;The steak has been outdoors for some time now and has been cooked almost entirely in ambient heat. Aunia remembers a time when she had to feed strictly on things similar to the sad steak, luckily that time is behind her. Now her stomach is somewhat finer again.;5;1
